model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,4,14,25.9590499050958,37.0973569013165,37.0973569013165,1081.72960016003,11.5067029960366,14.4523469090592,1.33604062484017,2.39977254031463
trip-specific,1,4,15,25.8957057685367,19.2040358462147,19.2040358462147,585.764245441738,20.5012205122705,5.3944852562662,0.920931125148839,4.42084097314751
trip-specific,1,4,16,30.9075369865541,26.7474113799707,26.7474113799707,800.476749083597,10.8178707067502,20.0896662798039,2.50971265596446,3.86114112895068
trip-specific,1,4,17,28.9056671954542,29.1055212199876,29.1055212199876,855.821806412075,12.9925706879983,15.9130965074559,1.85939367146644,3.37753338123477
trip-specific,1,4,18,21.3790616797168,17.9724457315357,17.9724457315357,546.37413552908,17.9249524926582,3.45410918705858,0.632187536423883,3.9128978276057
trip-specific,1,4,19,10.5713858015489,11.5920255234366,11.5920255234366,369.493343642715,29.0686848708746,-18.4972990693257,-5.0061251136399,2.86104905093258
trip-specific,1,4,20,17.4982066814962,15.9780218517649,15.9780218517649,483.645708188099,15.2557580130724,2.24244866842374,0.463655239870673,3.61798034909694
trip-specific,1,4,21,23.2878994606907,25.9011658486776,25.9011658486776,795.769445766561,27.0419085642142,-3.75400910352345,-0.471745820789492,2.92646313383616
trip-specific,1,4,22,41.665555049684,36.4796490131143,36.4796490131143,1065.0651758362,7.71124772154841,33.9543073281355,3.18800277189398,3.91201928247927
trip-specific,1,4,23,18.4296168491791,20.1304968939577,20.1304968939577,652.631756036863,50.3157225581039,-31.8861057089248,-4.8857729361125,2.82389213805559
trip-specific,1,4,24,19.9179812386292,17.5381497208263,17.5381497208263,543.898083316018,21.1675969065958,-1.2496156679666,-0.229751805769931,3.66207968912006
trip-specific,1,4,25,18.9729332808611,14.4621274264501,14.4621274264501,440.347392977359,13.4750553328605,5.49787794800058,1.24853196264597,4.30862850182392
trip-specific,1,4,26,22.0734972722301,22.0458931703402,22.0458931703402,701.43292848895,48.9878642864198,-26.9143670141898,-3.83705496577835,3.14691489032052
trip-specific,1,4,27,13.9040630226853,15.2070667192068,15.2070667192068,464.017736667853,14.2583680744697,-0.35430505178446,-0.076355928617891,2.99645076555293
trip-specific,1,4,28,18.8034926011602,17.230723476443,17.230723476443,523.191834568675,12.9968774004124,5.80661520074786,1.10984438538398,3.59399580780194
trip-specific,1,4,29,10.2734471390052,10.8303059996472,10.8303059996472,325.144845766569,12.7078166298941,-2.4343694908889,-0.748703084974197,3.1596524665136
trip-specific,1,4,30,19.346797990596,19.2507161636035,19.2507161636035,573.012418656538,17.0929756397294,2.25382235086661,0.393328709376114,3.37633136048879
trip-specific,1,4,31,35.3265770841463,38.4097936063245,38.4097936063245,1100.74509439306,7.80789915773924,27.5186779264071,2.5000045938502,3.20933313844339
trip-specific,1,4,32,23.4986178705806,24.4699793426372,24.4699793426372,769.341739192408,44.7773157944611,-21.2786979238805,-2.7658317285914,3.05437969545855
trip-specific,1,4,33,21.3658520281578,22.1179731980528,22.1179731980528,657.356510916024,8.30795572354344,13.0578963046143,1.98642533964077,3.250268564068
trip-specific,1,4,34,24.5678011383409,35.6919039856164,35.6919039856164,1046.19182048495,11.3299140802401,13.2378870581008,1.26534033232687,2.34830751467286
trip-specific,1,4,35,15.4859769715748,15.3575951597638,15.3575951597638,422.912008468315,1.78467733625093,13.7012996353239,3.23975185404327,3.66174917275612
trip-specific,1,4,36,24.3929980050122,18.6029906793672,18.6029906793672,595.107945290472,37.2327058250989,-12.8397078200867,-2.15754266460342,4.09891990151568
trip-specific,1,4,37,26.435102154585,36.3626486656366,36.3626486656366,1078.33176005344,17.2249856905712,9.2101164640138,0.854107873402276,2.45148136537079
trip-specific,1,4,38,16.9698992890282,16.3602620547465,16.3602620547465,510.510338944384,26.9491279284302,-9.97922863940196,-1.95475544335433,3.32410491903415
trip-specific,1,4,39,18.8482428594345,14.7282210256324,14.7282210256324,467.538819296544,29.9322461545745,-11.08400329514,-2.37071294140173,4.03137495359069
trip-specific,1,4,40,27.4944892390245,27.9554900728459,27.9554900728459,821.163982014474,10.4785367571749,17.0159524818496,2.07217472448148,3.34823370742287
trip-specific,1,4,41,20.826711276455,18.2223980029078,18.2223980029078,548.397890784181,12.3646790068842,8.46203226957076,1.54304610060963,3.79773730469201
trip-specific,1,4,42,22.3222272670758,23.0822712719734,23.0822712719734,559.299846188829,0,22.3222272670758,3.99110198566716,3.99110198566716
trip-specific,1,4,43,133.423524867886,55.7728765586491,55.7728765586491,1447.01619849644,2.21050523381577,131.21301963407,9.06783350251437,9.22059649411824
trip-specific,1,4,44,25.1531093007132,27.5919670937445,27.5919670937445,779.148710991684,7.96705720916336,17.1860520915499,2.20574735594131,3.22828093608714
trip-specific,1,4,45,20.5374717894132,19.775183263071,19.775183263071,608.987765976588,25.6146857911753,-5.07721400176212,-0.833713628650679,3.37239480607278
trip-specific,1,4,46,23.2041177056142,21.0449672559341,21.0449672559341,612.830957210046,8.82675547933176,14.3773622262825,2.34605678076975,3.78638145358265
trip-specific,1,4,47,25.1291171629109,25.0385471858665,25.0385471858665,812.911709968116,68.4362361993074,-43.3071190363966,-5.32740745462938,3.09124802297367
trip-specific,1,4,48,23.0190071810023,18.1942257997611,18.1942257997611,559.617544036116,36.5218598058514,-13.5028526248491,-2.41287157072717,4.11334623553487
trip-specific,1,4,49,6.7017640634877,4.77848190240785,4.77848190240785,135.173870939884,5.54651722896111,1.15524683452658,0.854637679970235,4.95788425447118
trip-specific,1,4,50,38.6421966175948,28.3340989490084,28.3340989490084,826.675592470218,6.68687968367224,31.9553169339226,3.86552079497542,4.67440879706231
