"","trip","real","normal_5","normal_50","normal_95","normal_F","normal_95F","t_5","t_5F","frequency"
"1306",15754,2788,2509.12858890513,2203.55742337651,2654.51382006159,2217.0436583423,2475.47112015217,2510.6849433018,2468.14965794232,1359.78363565845
"1307",15759,927.006000041962,1361.3172512489,768.422598970937,2063.98319707668,866.854377613664,858.128259109784,757.270692828843,1045.20210252583,353.436555205028
"1308",15761,1499.88400006294,1626.32415983213,1768.7194040714,1616.22512333924,1889.40771236013,1910.15039417863,1645.7229144178,1648.5085274417,756.054285969753
"1309",15772,1375,1623.38941340846,1531.23514874634,1087.72431866935,1415.53574950784,1453.675859714,1741.11368687811,1684.07202559531,2223.03328394965
"1310",15822,920,931.688770848774,874.843279571673,1401.99809958521,846.334562770257,901.67166269623,942.923779116699,867.517788201312,777.353788098068
"1311",15829,1080.00900006294,967.821999712077,985.21439965632,1956.43687318577,947.734200674337,1173.3387878722,864.970107549543,1075.69581258682,747.389136089995
"1312",15832,982,1027.3170065415,1190.36886573841,1330.41825280907,1484.71891253105,2044.4466425195,1068.76018939845,1049.12358090113,923.287729027976
"1313",15834,2795,4068.98162133662,2547.67658167461,2512.5749723512,2089.57669349341,2068.17986417883,2354.81553390401,2259.92121170939,179.985635708502
"1314",15836,2083,1987.38912109507,1929.99074993987,2266.50745662397,1705.44068605975,2360.23538930533,2422.92949820722,1804.54215626149,1815.93353125141
"1315",15838,1598,1626.93917884057,1825.89837478474,1308.85674019082,1601.63797742478,1460.27811468287,1668.83053680123,2195.04089279753,2226.32334974411
"1316",15839,1140,1758.99028717193,2150.19442184147,1498.2493000113,1666.25627620454,2553.5014206158,1822.75361350332,1556.94597833964,1032.12253906949
"1317",15840,1061,1276.79889857182,1236.32179748491,1182.19136964858,1253.23756149754,1390.48528246581,1253.81341362136,1289.54923932981,1638.64561455393
"1318",15855,1440.32899999619,1355.95217503734,1678.66462101388,1626.42680981679,1803.2110267844,1525.87338210398,1446.63085843717,1457.08132299322,1602.52390966401
"1319",15858,1720,1745.80258317154,1724.61255133313,1617.13863792894,1716.17754566838,2208.85554401265,1774.09468410393,1661.33660390558,257.686720216846
"1320",15859,1266.77999997139,1486.07511797548,1472.31233705799,1540.93068995763,1343.19281767373,1479.01442572103,1359.79296763297,1486.9966976262,1972.97146954114
"1321",15867,1638,2279.79309546613,1845.498495064,1829.61438528382,1911.28152532634,1898.42399931556,1823.00298672342,1980.92519483436,1612.03506408402
"1322",15868,637,1358.03857371319,1236.37774494597,938.835074361259,1096.16717472015,794.094840269818,1227.12694127016,1023.31033307702,1395.27746386039
"1323",15898,926.776999950409,1605.15920297255,1345.19830952536,1141.70448598625,1418.00931793818,1310.05928584337,1558.55571473669,1190.55300769049,1465.22879862757
"1324",15933,230,265.039479911878,269.342602452764,227.196366232431,267.776705250076,317.294287828962,282.529208113035,515.621978207982,1815.60405014522
"1325",15944,910,743.148610905943,721.677340414187,832.73618761966,654.097256027204,807.854783643493,837.877826720244,964.117020991756,1864.79551873552
"1326",15946,1735,2041.801097947,1880.43245250305,2036.6659579456,1834.22407275346,2175.78474253797,1954.43816657161,2019.18648213951,1090.85509368203
"1327",15959,4178,3612.87032689719,3674.67289549209,3794.80557492619,3711.47468215101,3688.58084428167,3865.78941722234,3630.13922130013,1376.56119960127
"1328",15963,158,169.878906720983,266.149730505605,181.248117366865,151.710373870207,187.048578003998,223.561261897943,135.066761990011,641.631577784692
"1329",15971,407,463.445658429048,461.214064500721,469.150839279648,378.300393068019,442.251555516498,483.443926366614,453.310623983755,581.921641369048
"1330",15987,543.901999950409,497.829305694041,745.775134531458,922.442927624051,524.522651035208,1239.49879024203,636.986446872833,527.853369480424,2675.15813013009
"1331",15999,229,196.29091667654,263.580651390604,262.469354906061,201.744030624325,195.715183697969,214.46016645272,181.051857303935,2339.86400411235
"1332",16007,570.12299990654,640.297770019272,744.352449932549,901.779256023141,649.17920301521,641.72378129582,774.462202904663,584.507852813671,2083.75435682455
"1333",16009,3384,2752.44111306624,2904.25127739036,2920.3227675775,2965.53460711399,2999.5459894748,2890.2861175214,2875.97661124301,423.054406446047
"1334",16011,562,1332.20997011612,643.745447637332,779.129046159801,616.270128371293,823.687929713458,877.712857272818,747.904651479639,596.542905523984
"1335",16018,1225.15300011635,1292.98958574434,1205.62926780702,1488.41376092757,1297.97698242234,1791.9695265298,1279.76472130261,1196.0233546752,2085.89918279361
"1336",16031,204.960999965668,141.85019122934,167.946508968662,137.903546135116,179.179431722585,169.188782715305,147.879757207235,220.951054924842,722.535287593162
"1337",16040,947.726999998093,1067.04696435299,1238.40935323223,2584.59486686439,1061.80537680435,1037.97232822549,987.470100999876,976.825235759839,2092.71280714014
"1338",16061,631,583.500074550423,591.47965799076,550.305850622206,540.171699399085,529.299241426481,655.94831689479,531.478626997645,857.456878226631
"1339",16065,524,777.703425591424,714.769627987615,443.718773158057,604.37907913589,660.529696596693,470.741637623285,463.743165633376,273.565879995848
"1340",16086,898,1390.63562808407,1003.78041949162,1034.28675189188,1108.25708703213,913.76679310919,1254.31542160563,1014.84997149379,862.219353190436
"1341",16091,1002,1434.46946556528,1170.78153941058,1505.53021857967,1188.95612684139,2256.87602812954,1213.78350136742,1034.25615043986,1377.36246285843
"1342",16097,785,793.496195657105,1022.69672246679,1064.0003283491,752.991310963188,2492.06903577126,735.363980744561,691.727336891458,1112.99848786244
"1343",16137,873,1229.3950098695,786.798315850619,824.909272213401,1007.742571096,1066.46097134823,844.035065397252,832.941972105252,1096.82108838267
"1344",16148,1765,2052.14714086058,2109.34428266865,2038.06666148773,1954.68116468494,2578.57319672397,1968.29108966457,1891.01851583071,975.463012130847
"1345",16152,885.49799990654,1428.59741652536,4668.41030000299,997.344230243881,1030.73158201003,964.130989557871,3652.69410293851,881.056044788022,1475.92386954002
"1346",16170,851,1435.37963577827,865.326872872306,976.587935001266,931.044972482231,570.643384240136,1102.58689529884,772.991507614189,392.719595987995
"1347",16180,167,224.372427129843,221.415288939698,334.668955225005,239.513398874453,313.595760519876,169.963060148081,213.338725243823,287.107523931151
"1348",16184,2261.72900009155,3343.67153754671,3337.97432004751,3215.36185471119,2554.98237803998,3583.93273438786,3178.4777921568,2673.35862537547,1602.29233381458
"1349",16197,1829,1726.03271978043,2068.15741603058,2460.45598968575,2963.69645230309,1469.96230855616,2647.46507550276,2055.71921869487,1011.30122467743
"1350",16199,1273.9240000248,1263.80518990932,1220.64868058752,1073.40370051704,1082.1120777253,1174.96971321998,1311.63220875226,1219.79897015726,753.175350593624
"1351",16205,1595.40400004387,2124.19243263081,2042.85652603105,2824.86729859472,1795.00118071322,1752.26696417721,2353.75441242342,1973.60401044035,176.809983651967
"1352",16214,753,804.072241771375,823.747258991427,697.218411014307,767.274562795477,582.871857986158,740.101995920034,833.336416795215,719.469292471577
"1353",16219,819,874.718129277727,614.620753311646,772.988113580229,723.702821850617,1009.93122416837,1009.98532813259,697.111973582944,1662.82783600736
