tripID,premium_trip,eta_min,distance_km,duration,distance,real_price,strike,premium_pop
13631,0.808751770525659,20.7739825892187,28.665539,1011.63,28665.539,34.1957401,35.4089197026578,1.12188873360875
13633,0.501671527657679,13.756490925249,12.447312,1033.81,12447.312,19.7139324666667,18.6370929868272,0.762966826213102
13666,0.224598730633152,7.55209583761548,7.041067,716.61,7041.067,13.2094453,11.8481100096608,0.416007476443946
13669,0.254004812592355,3.59490160217193,1.438778,279.18,1438.778,5.9073302,5.5793196966733,0.560944366804377
13684,0.2250721032579,2.41533466603933,1.729275,190.96,1729.275,5.71297416666667,5.47510124647219,0.560944366804377
13687,0.22284478878716,18.4712244895558,17.812294,1082.3,17812.294,24.7929479333333,24.9271441917623,0.979647220728549
13690,0.583569128133651,9.51848234630175,6.722895,697.11,6722.895,12.8223405,12.1713350273535,0.895756320522712
13697,0.374769912793672,25.9476335358158,17.129684,2432.87,17129.684,31.1565439333333,26.6304819961029,1.29746807944364
13714,0.214439632278771,18.0228898124263,16.797265,988.29,16797.265,23.3937035,23.8746343418522,1.30351691446933
13717,0.426913825948496,29.0914612585809,17.020498,1755.01,17020.498,27.5559998666667,27.5068011901601,1.36252913276466
13720,0.251533702228731,29.9671030103885,38.188257,1600.11,38188.257,45.8066663,46.8292332332204,1.46813190522838
13750,0.239066370427841,13.156129475486,17.025303,765.53,17025.303,22.4480110333333,22.5711728374007,0.96345358934212
13761,0.45122859205636,26.6599477418503,18.387422,1446.35,18387.422,27.1914881333333,27.9832635999736,1.26056568348512
13787,1.51824622866839,45.5201678983465,60.250866,2387.63,60250.866,69.7318677333334,71.5070314484874,1.36829038101015
13793,0.32654910265983,20.4970719746231,12.49786,934.19,12497.86,19.2447223333333,20.7721663121332,1.01900604647056
13827,0.608631417520558,16.2672646946007,13.692801,818.7,13692.801,19.7234709,20.5363729553262,0.979647220728549
13831,0.252266479274031,14.9299338428628,14.668094,924.2,14668.094,21.1463179333333,20.9995640912875,1.14959386181737
13856,0.329853817400671,18.564499373175,12.2885,895.32,12288.5,18.85547,19.9846448056843,1.04943081681142
13890,0.214961740842291,9.03674490497365,3.830062,533.87,3830.062,9.37538413333333,9.41844672054183,0.752585841462099
