tripID,realized_secs,simulated_secs
6934,1721.13,1962.71473156724
6958,1246.53,1140.86271898827
6982,509.77,609.710121226056
6984,672.69,760.192801236803
6993,128.18,56.7548586184188
6995,1624.67,1866.28823672295
7035,823.9,1305.69200484079
7037,1034.08,1051.72628758615
7046,1269.77,1241.15811349617
7050,778.44,773.879597096409
7068,880.18,921.16850173339
7069,1122.4,1225.49839379367
7083,1266.24,1271.23945384908
7123,1108.12,1000.42139097812
7150,2666.9,2670.19634980285
7162,961.34,1183.03536679251
7166,850.66,1314.06274869159
7174,808.36,972.520470570513
7194,915.68,1258.76321784157
7206,1444.21,1327.17791444134
7213,447.15,401.754727065087
7216,919.63,1044.24866509303
7220,1713.3,1955.55554149061
7228,1178.29,1164.82686516842
7231,1223.84,1382.82832335635
7232,1932.75,2662.03514421198
7242,1070.5,1209.92490899171
7244,801.62,746.207670709634
7254,2174.49,1584.00551800207
7263,1746.81,1747.97770700537
7289,1340.92,1430.08059601293
7295,1524.72,1458.47895890477
7305,1282,1606.30271333929
7345,1996.24,1778.04785061685
7346,2097.85,2266.38785025609
7349,1524.03,1387.4078056112
7362,347.89,351.043473526902
7372,293.35,254.976111600388
7378,1571.64,1483.72320562764
7388,1541.64,1713.07314134229
7392,927.07,995.696193425996
7396,1569.93,1310.84254652358
7413,629.49,514.278578426376
7420,1637.15,1780.93075225165
7441,1669.65,1671.30483603647
7452,1692.54,1116.23649981484
7460,1219.2,1509.15549076151
7474,747.75,959.135718088137
7488,1114.01,1589.21699137962
7496,1306.32,1034.13350327163
7497,973.62,989.888467884705
7505,686.38,823.158742756607
7521,3079.36,2802.1792587199
7535,517.45,508.343824194207
7540,1601.19,1054.81045665715
7542,1815.54,2518.29758400007
7547,2642.91,1828.8098877553
7565,1013.15,1047.64622892932
7593,736.48,1160.3505927345
7600,1660.01,1169.17617340238
7603,2378.9,1956.82870217347
7607,468.64,469.323449023037
7612,1353.98,1137.20727791896
7623,1309.3,1417.87056843531
7624,471.85,429.988252063057
7631,2161.92,2238.17926908421
7657,995.47,843.120380235433
7663,327.33,362.591379498499
7677,2134.8,1797.61461139133
7699,883.17,1424.05908185252
7708,1985.43,2064.89126231835
7745,893.95,827.367653153317
7759,1923.33,2005.47018736351
7765,748.77,803.79276056227
7767,1033.05,898.999701092432
7776,819.69,957.18494613646
7797,1755.31,1796.73960431522
7806,1495.25,1603.37754480907
7808,418.73,384.285316736035
7820,1326.72,1535.20697671232
7827,332.53,341.115145746152
7834,2424.15,2686.58110704156
7837,1238.68,1749.0186626924
7864,1162.97,1013.57908008206
7883,1244.84,1339.55038083088
7886,1899.33,1426.5609667713
7905,1680.19,1755.03148323351
7911,814.01,849.846157746311
7928,1467,1412.80347753427
7956,1277.37,1232.2701299407
7962,1895.34,2172.83624996885
7970,1814.47,2055.59567907675
7977,2991.98,2052.25025974913
7983,653.78,645.224926786439
7984,1502.41,1577.95739906384
8007,1362.49,1448.09127912692
8010,1183.13,1197.8473663191
8011,180.18,363.101593040041
8016,660.13,762.408274236549
8019,2116.84,2164.72842058368
8032,647.63,730.584417025289
8040,990.01,1013.8787396174
8041,1029.99,864.366849973877
8064,1164.86,1253.73928824929
8086,1115.19,1001.83562602246
8092,1504.85,1523.1368144667
8095,1015.16,994.699269557268
