"tripID","start_time","end_time","duration","distance","real_price","payment_trip_specific","payment_population","profit_trip_specific","profit_population"
19360,2014-04-29 07:39:25.941,2014-04-29 07:44:42.963,333.6,3066.983,7.6538847,8.08827516419269,8.85300096984421,0.434390464192692,1.19911626984421
19368,2014-04-29 07:54:56,2014-04-29 07:58:36,241.89,2162.095,6.3656505,7.01387982735162,6.87314041442214,0.64822932735162,0.507489914422137
19373,2014-04-29 07:56:11,2014-04-29 08:15:39,1218.31,13418.532,21.5412804666667,20.2709289107485,21.933754783731,-1.27035155591814,0.392474317064348
19389,2014-04-29 07:47:24,2014-04-29 08:17:56,1834.28,15664.887,26.7455116333333,27.0245655081342,27.8312481871837,0.279053874800905,1.08573655385032
19391,2014-04-29 07:59:57,2014-04-29 08:17:01,1056.25,16047.79,23.0703026666667,23.0546839433368,22.3381371842226,-0.0156187233298439,-0.732165482444042
19403,2014-04-29 08:04:50,2014-04-29 08:19:51,936.35,12708.78,19.4457103333333,20.4754934650063,21.7591376090253,1.02978313167299,2.31342727569196
19405,2014-04-29 07:57:49,2014-04-29 08:19:35,1339.41,17749.771,26.0650789,25.9889863240553,28.6049156019952,-0.0760925759447382,2.53983670199524
19421,2014-04-29 08:11:43.665,2014-04-29 08:23:19.545,703.32,7893.571,13.9080339,14.4688795019104,15.2811146239013,0.560845601910364,1.37308072390134
19434,2014-04-29 07:55:09,2014-04-29 08:25:01,1853.29,19785.475,30.5522591666667,30.8745912389018,30.8049654904698,0.322332072235113,0.252706323803157
19441,2014-04-29 08:16:12,2014-04-29 08:26:32,627.05,9173.512,14.6659191333333,16.9514478232816,16.6205922388482,2.28552868994825,1.95467310551486
19460,2014-04-29 08:21:53,2014-04-29 08:29:53,552.16,7553.732,12.8211854666667,13.2773873895671,14.505292413082,0.456201922900416,1.68410694641532
19468,2014-04-29 08:12:35,2014-04-29 08:31:19,1124.08,17423.164,24.6585942666667,25.1776427432347,25.537923583731,0.519048476568027,0.879329317064347
19475,2014-04-29 07:52:02,2014-04-29 08:24:27,1958.14,21859.019,32.9601737666667,32.7358035783624,32.4872415757697,-0.22437018830427,-0.472932190896991
19504,2014-04-29 08:13:27,2014-04-29 08:15:41,137.11,1696.036,5.40483406666667,5.44362367591781,5.85382362246935,0.0387896092511415,0.44898955580268
19515,2014-04-29 07:38:08.325,2014-04-29 08:38:31.594,3630.67,29366.02,48.3578796666667,46.4060011131829,42.4511062534234,-1.9518785534838,-5.90677341324329
19547,2014-04-29 08:25:38,2014-04-29 08:39:38,843.48,14229.912,20.3349008,22.7523525893731,23.8689847497356,2.41745178937309,3.53408394973556
19556,2014-04-29 08:44:36,2014-04-29 08:55:05,658.58,10508.162,16.0300091333333,17.1331520843546,18.2895906194038,1.10314295102129,2.25958148607048
19561,2014-04-29 08:36:10,2014-04-29 08:58:55,1374.94,18637.464,27.0475742666667,28.4375724895025,31.4233539150381,1.38999822283585,4.37577964837148
19567,2014-04-29 08:18:01,2014-04-29 08:44:13,1562.02,17462.355,26.9565561666667,29.7768141088646,31.0979504100136,2.82025794219796,4.14139424334695
19579,2014-04-29 09:03:35,2014-04-29 09:09:35,359.18,4212.922,8.81739313333333,9.42751395635859,11.5926954617804,0.610120823025254,2.77530232844711
19591,2014-04-29 09:03:55,2014-04-29 09:18:21,867.71,7530.347,14.4304806333333,14.4044157423497,16.1692322211663,-0.0260648909835854,1.738751587833
19597,2014-04-29 09:23:04,2014-04-29 09:27:53,302.54,1981.295,6.51628883333333,6.57939282280209,7.1999963468942,0.063103989468754,0.683707513560871
19609,2014-04-29 09:27:32.811,2014-04-29 09:40:20.992,773.46,6249.188,12.7904792,12.5316774726538,13.6133866514064,-0.258801727346221,0.822907451406426
19626,2014-04-29 10:24:32,2014-04-29 10:42:00,1069.18,18795.062,25.6096524666667,25.8418701548833,28.6242233413285,0.232217688216622,3.0145708746618
19661,2014-04-29 06:26:35.742,2014-04-29 06:35:42.832,509.53,6015.725,11.2167241666667,11.4994124630243,11.2183034088372,0.282688296357595,0.00157924217052852
19665,2014-04-28 08:01:16,2014-04-28 08:39:55,2245.01,29663.031,41.4659462333333,42.1051040064476,44.1784090794842,0.639157773114299,2.71246284615091
19674,2014-04-29 08:27:03.95,2014-04-29 08:35:45.852,545.73,3556.546,9.1904964,8.99596088430165,10.1518740460865,-0.194535515698353,0.961377646086497
19677,2014-04-29 12:14:49,2014-04-29 12:26:10,878.26,14492.101,20.7505675666667,21.2790831570597,20.0886772230192,0.528515590393006,-0.661890343647507
19680,2014-04-29 09:47:16.141,2014-04-29 10:05:07.237,1068.82,22220.605,28.6907811666667,29.408740426574,33.2722910827853,0.717959259907314,4.58150991611864
19690,2014-04-28 16:14:33,2014-04-28 16:38:52,1494.1,14114.265,23.5923551666667,24.5757662457761,22.3739779054616,0.983411079109459,-1.2183772612051
19694,2014-04-29 12:48:32.49,2014-04-29 12:55:15.489,413.8,6332.77,11.0074596666667,11.3333682124424,11.5999976472264,0.32590854577572,0.59253798055976
19728,2014-04-29 14:50:41.272,2014-04-29 15:02:24.246,711.33,3319.388,9.8326542,9.33453047698767,11.2581459154672,-0.498123723012334,1.42549171546722
19730,2014-04-29 14:58:22.411,2014-04-29 15:04:05.543,387.17,6836.037,11.3228116333333,11.5037153561271,11.5692641468942,0.180903722793731,0.24645251356087
19740,2014-04-29 15:03:05,2014-04-29 15:24:03,1269.61,22522.533,29.9999313666667,34.1347441135563,32.0712071866319,4.13481274688968,2.07127581996524
19743,2014-04-29 15:08:24,2014-04-29 15:28:40,1228.86,26397.124,33.2765216,35.8417031547237,34.3567073334691,2.56518155472371,1.08018573346912
19744,2014-04-29 15:18:50,2014-04-29 15:29:29,658.23,8457.13,14.182272,14.4783607682179,14.7519117298327,0.296088768217862,0.569639729832705
19747,2014-04-29 15:31:58.371,2014-04-29 15:38:54.326,438.22,2997.565,8.13194516666667,8.26963820277181,8.1146393468942,0.137693036105148,-0.0173058197724618
19769,2014-04-29 15:34:52.48,2014-04-29 15:48:33.47,829.7,7398.242,14.1152011333333,15.3773809888523,14.6475352514064,1.26217985551892,0.532334118073097
19774,2014-04-29 15:31:59.081,2014-04-29 15:49:31.596,1051.33,4826.524,12.9457432666667,12.108279631913,12.3329890514064,-0.837463634753622,-0.612754215260239
19776,2014-04-29 15:37:14,2014-04-29 15:55:20,1152.67,13786.341,21.5331685666667,23.5883311807982,24.3008677571224,2.0551626141315,2.7676991904557
