model,strike,h,lambda,k,u,n_members,mean_profit,se_profit,mean_loss_ratio,se_loss_ratio,pooled_loss_ratio,median_loss_ratio
population,0.9,8,0.5,28,0.933333333333333,100,24.8646256680882,6.29270195675261,0.739218736011983,0.0830922122421224,0.695560433077053,0.546545091822534
population,0.9,8,0.5,29,0.966666666666667,100,23.8025645466869,6.45654216066851,0.752217553753072,0.0854507875706249,0.708564185160884,0.546754184993045
population,0.9,8,0.5,30,1,100,22.8480651185619,6.61171286883786,0.764695347725114,0.0880648465361453,0.720250964459538,0.550334236937773
population,0.9,8,0.75,0,0,100,81.6734366015615,3.2041127306192,0,0,0,0
population,0.9,8,0.75,1,0.0333333333333333,100,77.3670574834522,3.11583100492706,0.0553639016127507,0.00453166151147837,0.0527268019725646,0.0503268176326776
population,0.9,8,0.75,2,0.0666666666666667,100,73.5753335028853,3.09842397880386,0.105098244310506,0.00817860131460224,0.0991522266680446,0.0877623315056978
population,0.9,8,0.75,3,0.1,100,70.1325252716232,3.11365348100242,0.15068939112287,0.0118097928919603,0.141305567760542,0.126173622614224
population,0.9,8,0.75,4,0.133333333333333,100,67.1950007804352,3.13783511636279,0.189137730540406,0.0152906345186,0.177272273869881,0.158433441819372
population,0.9,8,0.75,5,0.166666666666667,100,64.2066832475118,3.14795992359143,0.226961260840133,0.0185528520336889,0.213860884038223,0.192875164914877
population,0.9,8,0.75,6,0.2,100,61.2809433514917,3.21089540742975,0.264746753971849,0.0219630355588091,0.249683300943405,0.215730230313792
population,0.9,8,0.75,7,0.233333333333333,100,58.5677745517834,3.28665417218018,0.300579548468295,0.0250149021189066,0.282903022221259,0.242963563202021
population,0.9,8,0.75,8,0.266666666666667,100,56.0188748272037,3.38702423816673,0.33399032551629,0.0283001212816779,0.314111452166656,0.266088254696822
population,0.9,8,0.75,9,0.3,100,53.7193516645475,3.46085467583095,0.363255077764735,0.0310231902312058,0.342266544670897,0.293858191388681
population,0.9,8,0.75,10,0.333333333333333,100,51.3438110056741,3.59050071740276,0.395238455210296,0.0343402191139084,0.371352386502952,0.309760558187115
population,0.9,8,0.75,11,0.366666666666667,100,49.2230902620884,3.70766545816063,0.423134084489618,0.0372365360747884,0.397318243112261,0.349033597956613
population,0.9,8,0.75,12,0.4,100,47.213499074489,3.84411023614734,0.449392734923053,0.0399985114542974,0.421923442442896,0.371365081334324
population,0.9,8,0.75,13,0.433333333333333,100,45.1929411301565,3.98091545645853,0.475891723921817,0.0428434896022134,0.446662917459599,0.402059256638508
population,0.9,8,0.75,14,0.466666666666667,100,43.1866586618055,4.13130229454442,0.501331514845216,0.0457436680386366,0.471227605218956,0.418458603914719
population,0.9,8,0.75,15,0.5,100,41.2371422891682,4.28149171755434,0.526549831480051,0.0486520914885849,0.495097255545387,0.434579890229886
population,0.9,8,0.75,16,0.533333333333333,100,39.6297468337046,4.43428126182947,0.547581722333568,0.0515823131631797,0.514778017398291,0.455237876025313
population,0.9,8,0.75,17,0.566666666666667,100,37.9321297686916,4.59342440553762,0.569101163080935,0.0544710996900831,0.535563442080428,0.468393739369426
population,0.9,8,0.75,18,0.6,100,36.5382879304718,4.74399559602511,0.58745261242418,0.0571214227845321,0.552629478434691,0.479214454368055
population,0.9,8,0.75,19,0.633333333333333,100,34.9298778694829,4.89025385797423,0.608307484528647,0.0597938478435049,0.572322662998913,0.486917516532355
population,0.9,8,0.75,20,0.666666666666667,100,33.4848570919957,5.0475780909033,0.627077853207037,0.0626887389009768,0.590015328296403,0.497840989961621
population,0.9,8,0.75,21,0.7,100,32.1005873953038,5.21980979494557,0.645073139185574,0.0655934656052386,0.606964164469968,0.500071080653625
population,0.9,8,0.75,22,0.733333333333333,100,30.8953339916571,5.37529177747472,0.660895297868162,0.0682900508050696,0.621721146100684,0.508546337032218
population,0.9,8,0.75,23,0.766666666666667,100,29.5164478154907,5.54591716416732,0.678887599909927,0.0709045682641699,0.638604067078935,0.527364859806665
population,0.9,8,0.75,24,0.8,100,28.3669988667153,5.70610475099461,0.693917355054299,0.0735361138414325,0.652677785494666,0.53045711955552
population,0.9,8,0.75,25,0.833333333333333,100,27.1756991743633,5.87018776274055,0.709350951862234,0.0762940941750095,0.667263919517209,0.539113133952491
population,0.9,8,0.75,26,0.866666666666667,100,26.059221708821,6.03583742073793,0.723563109681333,0.0788886698898824,0.680933938950687,0.543111937057586
population,0.9,8,0.75,27,0.9,100,24.9940420551486,6.20743994063242,0.737215710432245,0.0815497723295518,0.693975873978704,0.543837476381627
population,0.9,8,0.75,28,0.933333333333333,100,24.183893187686,6.34135469138003,0.747406188711596,0.0837029128754612,0.703895241905082,0.546545091822534
population,0.9,8,0.75,29,0.966666666666667,100,23.4738707654989,6.47711840233467,0.756692703255901,0.0859814039438138,0.7125886733527,0.548997867289773
population,0.9,8,0.75,30,1,100,22.8480651185619,6.61171286883785,0.764695347725114,0.0880648465361453,0.720250964459538,0.550334236937773
population,0.9,8,0.9,0,0,100,81.6734366015615,3.2041127306192,0,0,0,0
population,0.9,8,0.9,1,0.0333333333333333,100,76.6263028071215,3.09233318359825,0.0643738835076467,0.00467143744829544,0.061796515543507,0.0562047596620057
population,0.9,8,0.9,2,0.0666666666666667,100,72.3547306451412,3.07232018593798,0.120862349654828,0.00831836208117347,0.114097145218476,0.105761540824858
population,0.9,8,0.9,3,0.1,100,68.684477315177,3.06515990233844,0.168420192441936,0.0119571332749959,0.159035297482954,0.145471899685464
population,0.9,8,0.9,4,0.133333333333333,100,65.4230624380713,3.07259596794843,0.210800969499519,0.0153279208955136,0.198967679574531,0.179225621427004
population,0.9,8,0.9,5,0.166666666666667,100,62.2941066390368,3.12767835382368,0.252523279342653,0.0187717669905484,0.23727824821509,0.211323373736681
population,0.9,8,0.9,6,0.2,100,59.5070286483688,3.19252430027046,0.288511337040866,0.0221453723515835,0.271402904977906,0.245399374322782
population,0.9,8,0.9,7,0.233333333333333,100,56.7120084642118,3.27051317981777,0.32501944011299,0.0253705087553333,0.305624805028377,0.26983706288124
population,0.9,8,0.9,8,0.266666666666667,100,54.0027089504111,3.36862138074311,0.360062568675208,0.0286464175637162,0.338797151222377,0.299460377578157
population,0.9,8,0.9,9,0.3,100,51.646127318042,3.485178204462,0.391269752075848,0.0317458727112261,0.367650860952573,0.322217451520625
population,0.9,8,0.9,10,0.333333333333333,100,49.3053669601098,3.6142636308769,0.421604925476241,0.0348714732079007,0.396310856850034,0.350369701444376
population,0.9,8,0.9,11,0.366666666666667,100,47.1931004565565,3.73660533395609,0.448746267899292,0.0377955298931603,0.422173200733735,0.367495331973641
population,0.9,8,0.9,12,0.4,100,45.0916327441512,3.86900774937917,0.47634029535765,0.0408328283061962,0.447903325482338,0.393339963003622
population,0.9,8,0.9,13,0.433333333333333,100,43.1890492967887,4.01327223338016,0.501600764564589,0.0436288889854735,0.471198334563983,0.416657461138836
population,0.9,8,0.9,14,0.466666666666667,100,41.4040110675509,4.15964272701653,0.524753692161792,0.0464956093845767,0.493054133750515,0.437170031007481
population,0.9,8,0.9,15,0.5,100,39.6140513550039,4.31825565610095,0.548079642218784,0.0494730972152135,0.514970191002756,0.459621055851701
population,0.9,8,0.9,16,0.533333333333333,100,37.9580340291458,4.4624386359212,0.569279296453521,0.0521954084204289,0.535246273346846,0.470143730155851
population,0.9,8,0.9,17,0.566666666666667,100,36.4278343701408,4.61661582813383,0.589360845327816,0.0548996409130321,0.55398185890167,0.476354931619461
population,0.9,8,0.9,18,0.6,100,34.6864976265261,4.7893687039343,0.611805528083756,0.0580363464536587,0.575302582212355,0.495235111825694
population,0.9,8,0.9,19,0.633333333333333,100,33.1948792653309,4.95176373801845,0.63095573082281,0.0609145823036076,0.593565782871731,0.507729350460245
population,0.9,8,0.9,20,0.666666666666667,100,31.8043064100531,5.12850191882279,0.64927523537966,0.0639218126519267,0.610591794181401,0.519256504016567
population,0.9,8,0.9,21,0.7,100,30.567448565696,5.29216234850939,0.665365985013534,0.0666643514836969,0.625735736885698,0.525409084529314
population,0.9,8,0.9,22,0.733333333333333,100,29.350314723128,5.45664799190993,0.680620758720236,0.0693218169373032,0.640638181220271,0.536684723139587
population,0.9,8,0.9,23,0.766666666666667,100,28.2478438487689,5.61142917551578,0.69506928929337,0.0719049234694062,0.65413670559041,0.539776982888441
population,0.9,8,0.9,24,0.8,100,27.1481814718722,5.77026468201068,0.709289352521513,0.0745091172756599,0.667600843046279,0.543111937057586
population,0.9,8,0.9,25,0.833333333333333,100,26.2073377358236,5.92321252302983,0.721234950115226,0.0768873865469416,0.679120423649193,0.545819552498493
population,0.9,8,0.9,26,0.866666666666667,100,25.3564281796082,6.07361613505137,0.732014512734737,0.0792871645388772,0.689538860678682,0.546545091822534
population,0.9,8,0.9,27,0.9,100,24.6418020904908,6.21187679380753,0.741489618316332,0.081627550308016,0.698288658885456,0.546545091822534
